Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Cleveland Cavaliers,21,16,5,.762,16.1,4.9,115.5,106.0,90.7,.267,.370,.544,12.0,26.8,.193,.510,12.8,79.0,.189
2,Golden State Warriors,24,15,9,.625,15.4,8.6,110.5,106.1,97.0,.272,.379,.529,12.7,23.9,.200,.481,13.1,72.4,.226
3,Oklahoma City Thunder,18,11,7,.611,12.1,5.9,111.8,106.2,95.2,.326,.295,.501,12.6,29.6,.256,.499,11.5,78.7,.191
4,Toronto Raptors,20,10,10,.500,7.0,13.0,102.8,107.5,89.4,.301,.282,.463,12.4,25.1,.222,.514,13.6,77.3,.237
5,Miami Heat,14,7,7,.500,8.6,5.4,105.1,101.7,90.2,.264,.238,.500,12.8,23.0,.202,.451,10.4,80.5,.241
6,San Antonio Spurs,10,6,4,.600,7.9,2.1,111.0,101.1,91.9,.248,.232,.519,11.2,20.3,.199,.467,14.2,71.7,.208
7,Portland Trail Blazers,11,5,6,.455,4.6,6.4,108.1,110.7,96.2,.287,.351,.483,11.5,26.6,.212,.507,10.1,75.5,.220
8,Atlanta Hawks,10,4,6,.400,4.7,5.3,103.5,104.5,95.7,.242,.375,.494,13.3,20.7,.192,.487,12.7,75.0,.175
9,Charlotte Hornets,7,3,4,.429,1.5,5.5,99.2,109.0,91.0,.309,.231,.432,9.4,15.9,.259,.517,11.8,75.9,.186
10,Indiana Pacers,7,3,4,.429,3.9,3.1,105.5,103.9,88.8,.319,.284,.495,14.5,23.5,.261,.437,12.8,67.2,.246
11,Los Angeles Clippers,6,2,4,.333,3.2,2.8,104.9,103.9,93.7,.345,.229,.471,9.0,23.5,.216,.467,12.0,71.3,.193
12,Boston Celtics,6,2,4,.333,1.7,4.3,93.8,100.5,98.3,.235,.352,.432,12.9,21.5,.184,.481,13.3,80.6,.191
13,Houston Rockets,5,1,4,.200,0.3,4.7,92.7,111.8,98.4,.320,.332,.430,16.3,29.9,.206,.552,12.9,77.1,.199
14,Dallas Mavericks,5,1,4,.200,0.4,4.6,102.1,122.0,91.8,.298,.264,.474,11.4,21.5,.207,.537,12.0,65.5,.278
15,Memphis Grizzlies,4,0,4,.000,0.1,3.9,90.9,115.6,89.1,.215,.197,.423,14.8,28.8,.151,.552,13.7,77.3,.246
16,Detroit Pistons,4,0,4,.000,0.9,3.1,109.4,119.2,86.8,.292,.309,.537,11.0,18.4,.189,.546,8.6,75.5,.147
