Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,San Antonio Spurs,20,16,4,.800,12.9,7.1,107.6,103.1,88.9,.317,.256,.508,13.7,26.4,.229,.471,13.9,72.4,.228
2,Cleveland Cavaliers,20,12,8,.600,11.7,8.3,102.5,100.0,85.7,.341,.217,.456,12.9,28.6,.252,.464,13.8,76.6,.233
3,Detroit Pistons,16,10,6,.625,9.8,6.2,105.2,101.8,85.8,.346,.219,.468,13.2,28.7,.266,.462,14.3,70.9,.275
4,Utah Jazz,17,9,8,.529,9.0,8.0,106.9,105.9,91.0,.349,.159,.486,14.9,31.4,.261,.498,14.5,76.1,.294
5,Phoenix Suns,11,6,5,.545,7.3,3.7,110.6,105.3,94.1,.298,.229,.520,13.0,23.4,.232,.492,13.8,71.6,.213
6,New Jersey Nets,12,6,6,.500,6.9,5.1,101.7,99.6,88.7,.318,.284,.497,16.1,21.8,.236,.463,14.1,76.4,.257
7,Chicago Bulls,10,6,4,.600,5.4,4.6,103.4,102.1,89.4,.390,.220,.469,14.7,28.5,.284,.475,13.8,73.0,.225
8,Golden State Warriors,11,5,6,.455,6.1,4.9,110.9,109.1,95.3,.376,.382,.518,13.6,25.5,.277,.493,16.9,63.9,.307
9,Houston Rockets,7,3,4,.429,2.7,4.3,99.6,103.2,87.6,.363,.308,.460,15.0,24.3,.286,.467,11.8,75.0,.194
10,Toronto Raptors,6,2,4,.333,1.9,4.1,101.0,106.9,89.9,.347,.197,.478,14.8,19.0,.279,.521,15.7,76.3,.235
11,Dallas Mavericks,6,2,4,.333,1.7,4.3,105.7,112.8,93.2,.371,.274,.466,14.8,31.9,.287,.530,14.2,71.9,.272
12,Los Angeles Lakers,5,1,4,.200,1.0,4.0,103.8,114.8,94.4,.251,.230,.479,13.7,31.4,.181,.528,11.5,74.9,.225
13,Denver Nuggets,5,1,4,.200,1.4,3.6,100.7,107.5,87.6,.264,.181,.452,14.6,31.6,.207,.493,11.9,71.7,.149
14,Orlando Magic,4,0,4,.000,0.8,3.2,102.9,113.5,85.5,.394,.100,.495,14.8,28.3,.228,.495,10.7,71.2,.330
15,Miami Heat,4,0,4,.000,0.7,3.3,96.9,108.9,91.6,.365,.227,.482,14.5,19.6,.224,.505,13.9,74.3,.257
16,Washington Wizards,4,0,4,.000,0.9,3.1,103.5,113.4,88.4,.262,.247,.450,8.6,21.9,.202,.490,12.8,67.7,.326
