Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Detroit Pistons,23,16,7,.696,17.1,5.9,99.3,92.0,86.1,.359,.182,.439,14.4,30.2,.263,.423,15.4,74.6,.227
2,Los Angeles Lakers,22,13,9,.591,11.8,10.2,100.8,99.8,86.6,.375,.207,.477,12.7,24.4,.229,.456,14.3,72.2,.237
3,Minnesota Timberwolves,18,10,8,.556,9.0,9.0,101.9,101.9,89.8,.302,.198,.479,14.7,24.2,.236,.463,12.1,73.3,.211
4,Indiana Pacers,16,10,6,.625,10.9,5.1,98.9,93.7,86.5,.330,.237,.448,13.6,25.5,.242,.422,15.6,74.4,.270
5,Sacramento Kings,12,7,5,.583,6.0,6.0,101.0,100.9,93.4,.299,.202,.460,13.2,24.8,.227,.447,13.4,69.3,.208
6,New Jersey Nets,11,7,4,.636,6.6,4.4,96.4,93.7,88.9,.416,.225,.454,17.7,26.5,.303,.419,15.0,72.0,.245
7,San Antonio Spurs,10,6,4,.600,6.2,3.8,102.4,98.8,87.2,.314,.248,.485,15.2,30.1,.202,.482,15.3,77.1,.256
8,Miami Heat,13,6,7,.462,6.6,6.4,97.3,97.1,86.4,.343,.179,.433,14.1,27.2,.258,.445,15.8,72.8,.257
9,New Orleans Hornets,7,3,4,.429,2.6,4.4,92.5,95.9,87.1,.272,.243,.422,16.7,28.5,.212,.431,14.9,71.4,.249
10,Milwaukee Bucks,5,1,4,.200,0.6,4.4,95.3,109.3,89.9,.278,.185,.447,15.8,25.8,.206,.494,13.3,68.3,.240
11,Houston Rockets,5,1,4,.200,1.5,3.5,94.5,100.5,87.7,.306,.204,.458,16.6,24.0,.220,.458,10.2,77.7,.226
12,Denver Nuggets,5,1,4,.200,1.8,3.2,99.2,103.6,91.4,.193,.149,.452,13.1,31.7,.135,.503,15.9,75.8,.253
13,Dallas Mavericks,5,1,4,.200,2.7,2.3,103.4,102.0,96.3,.245,.180,.422,11.3,36.7,.189,.481,14.7,71.6,.204
14,Memphis Grizzlies,4,0,4,.000,0.4,3.6,97.1,113.4,86.0,.324,.176,.450,14.7,23.8,.252,.561,16.4,68.5,.233
15,New York Knicks,4,0,4,.000,0.5,3.5,90.4,104.1,92.9,.316,.181,.411,15.1,26.3,.228,.505,18.1,73.9,.333
16,Boston Celtics,4,0,4,.000,0.3,3.7,92.1,110.4,91.7,.383,.223,.445,19.3,23.1,.309,.501,11.9,72.2,.195
