Type,Year,Rk,Team,W,L,ORtg,DRtg
regSeason,1996,1,Chicago Bulls*,72,10,115.2,101.8
regSeason,1996,2,Seattle SuperSonics*,64,18,110.3,102.1
regSeason,1996,3,Utah Jazz*,55,27,113.3,106.1
regSeason,1996,4,San Antonio Spurs*,59,23,110.2,103.5
regSeason,1996,5,Orlando Magic*,60,22,112.9,106.9
regSeason,1996,6,Los Angeles Lakers*,53,29,111.4,106.6
regSeason,1996,7,Indiana Pacers*,52,30,110.8,107.2
regSeason,1996,8,Cleveland Cavaliers*,47,35,109.9,106.7
regSeason,1996,9,Detroit Pistons*,46,36,107.9,105.1
regSeason,1996,10,New York Knicks*,47,35,106,103.5
regSeason,1996,11,Portland Trail Blazers*,44,38,106,103.5
regSeason,1996,12,Houston Rockets*,48,34,109.3,107.4
regSeason,1996,13,Miami Heat*,42,40,105.3,103.8
regSeason,1996,14,Atlanta Hawks*,46,36,109.4,108
regSeason,1996,15,Washington Bullets,39,43,108.7,107.6
regSeason,1996,16,Phoenix Suns*,41,41,110.3,110
regSeason,1996,17,Charlotte Hornets,41,41,111.2,111.8
regSeason,1996,18,Golden State Warriors,36,46,108.4,109.9
regSeason,1996,19,Denver Nuggets,35,47,105.2,108.1
regSeason,1996,20,Sacramento Kings*,39,43,106.2,109.1
regSeason,1996,21,Boston Celtics,33,49,106.4,109.9
regSeason,1996,22,Los Angeles Clippers,29,53,106.5,110.3
regSeason,1996,23,New Jersey Nets,30,52,101.9,106.5
regSeason,1996,24,Dallas Mavericks,26,56,106.1,111.2
regSeason,1996,25,Milwaukee Bucks,25,57,105.6,111.5
regSeason,1996,26,Minnesota Timberwolves,26,56,104.1,109.8
regSeason,1996,27,Toronto Raptors,21,61,103.8,111.8
regSeason,1996,28,Philadelphia 76ers,18,64,102.2,113
regSeason,1996,29,Vancouver Grizzlies,15,67,97.6,108.5
regSeason,1997,1,Chicago Bulls*,69,13,114.4,102.4
regSeason,1997,2,Utah Jazz*,64,18,113.6,104
regSeason,1997,3,Seattle SuperSonics*,57,25,111.2,102.7
regSeason,1997,4,Miami Heat*,61,21,106.8,100.6
regSeason,1997,5,Atlanta Hawks*,56,26,108.5,102.3
regSeason,1997,6,Detroit Pistons*,54,28,110.6,104.4
regSeason,1997,7,Houston Rockets*,57,25,108.8,104
regSeason,1997,8,Los Angeles Lakers*,56,26,108.3,103.7
regSeason,1997,9,Portland Trail Blazers*,49,33,107.9,103.3
regSeason,1997,10,New York Knicks*,57,25,104.4,101
regSeason,1997,11,Cleveland Cavaliers,42,40,104.6,102.4
regSeason,1997,12,Charlotte Hornets*,54,28,110.9,108.9
regSeason,1997,13,Washington Bullets*,44,38,106.6,104.9
regSeason,1997,14,Indiana Pacers,39,43,105.8,104.7
regSeason,1997,15,Phoenix Suns*,40,42,109.3,108.6
regSeason,1997,16,Orlando Magic*,45,37,105.6,106
regSeason,1997,17,Milwaukee Bucks,33,49,106.2,108.3
regSeason,1997,18,Minnesota Timberwolves*,40,42,105.5,107.1
regSeason,1997,19,Toronto Raptors,30,52,104.6,108
regSeason,1997,20,Los Angeles Clippers*,36,46,105.1,107.6
regSeason,1997,21,Sacramento Kings,34,48,105,108.7
