Year,Rk,Team,W,L,ORtg,DRtg
1996,1,Chicago Bulls,15,3,111.5,99.4
1996,2,Seattle Supersonics,13,8,105.7,104.1
1996,3,Utah Jazz,10,8,109.7,100.8
1996,4,Orlando Magic,7,5,114.5,112.7
1996,5,San Antonio Spurs,5,5,108.5,111.5
1996,6,New York Knicks,4,4,102.4,102.3
1996,7,Atlanta Hawks,4,6,107.9,112.9
1996,8,Houston Rockets,3,5,103.2,108.4
1996,9,Portland Trail Blazers,2,3,101.6,112.9
1996,10,Indiana Pacers,2,3,102.5,103.7
1996,11,Phoenix Suns,1,3,109.1,121.3
1996,12,Sacramento Kings,1,3,96,102.6
1996,13,Los Angeles Lakers,1,3,101.4,103.6
1996,14,Miami Heat,0,3,92.6,118
1996,15,Detroit Pistons,0,3,107.6,122.9
1996,16,Cleveland Cavaliers,0,3,98.5,111.7
1997,1,Chicago Bulls,15,4,108.2,101.7
1997,2,Utah Jazz,13,7,110.5,106.7
1997,3,Houston Rockets,9,7,113.3,111.3
1997,4,Miami Heat,8,9,99.7,99.4
1997,5,New York Knicks,6,4,103.7,101.8
1997,6,Seattle Supersonics,6,6,113.2,108.4
1997,7,Atlanta Hawks,4,6,105.5,108.9
1997,8,Los Angeles Lakers,4,5,108.9,107.6
1997,9,Detroit Pistons,2,3,103.9,106.3
1997,10,Orlando Magic,2,3,99.3,108.5
1997,11,Phoenix Suns,2,3,103.3,116.3
1997,12,Portland Trail Blazers,1,3,104.2,112.4
1997,13,Minnesota Timberwolves,0,3,110.5,123.1
1997,14,Los Angeles Clippers,0,3,106.1,120.6
1997,15,Charlotte Hornets,0,3,109.9,119.9
1997,16,Washington Bullets,0,3,108.1,114.9
1998,1,Chicago Bulls,15,6,109.7,101.4
1998,2,Utah Jazz,13,7,102.8,100.4
1998,3,Indiana Pacers,10,6,107,104.4
1998,4,Los Angeles Lakers,7,6,113.3,111.9
1998,5,Charlotte Hornets,4,5,99,106.2
1998,6,Seattle Supersonics,4,6,111.4,114.3
1998,7,San Antonio Spurs,4,5,105.1,101.4
1998,8,New York Knicks,4,6,101.1,103.6
1998,9,Minnesota Timberwolves,2,3,104.6,111.4
1998,10,Miami Heat,2,3,101.8,104.3
1998,11,Houston Rockets,2,3,95.5,103.2
1998,12,Phoenix Suns,1,3,101.8,110
1998,13,Portland Trail Blazers,1,3,109.4,114.1
1998,14,Cleveland Cavaliers,1,3,97.6,107.3
1998,15,Atlanta Hawks,1,3,104.7,102.9
1998,16,New Jersey Nets,0,3,107.3,116
1999,1,San Antonio Spurs,15,2,103.6,95.1
1999,2,New York Knicks,12,8,100.1,97.8
1999,3,Indiana Pacers,9,4,107.1,103
1999,4,Portland Trail Blazers,7,6,102.1,102.6
1999,5,Utah Jazz,5,6,101.4,99.3
1999,6,Atlanta Hawks,3,6,97.2,100.6
1999,7,Philadelphia 76ers,3,5,103.9,103.3
1999,8,Los Angeles Lakers,3,5,103.4,106.6
1999,9,Sacramento Kings,2,3,97.8,103
1999,10,Detroit Pistons,2,3,100.2,104
1999,11,Miami Heat,2,3,98.4,103.4
1999,12,Minnesota Timberwolves,1,3,95.2,102.6
1999,13,Orlando Magic,1,3,98.8,105.9
1999,14,Houston Rockets,1,3,106.8,109.3
1999,15,Milwaukee Bucks,0,3,104.4,115.7
